ID,Cuadrante,Hora,Dia,Dosel (cm),Thalassia testudinum,Syringodium filiforme,Halimeda incrassata,Caulerpa sertularioides,Cladophora prolifera,Cladocephalus sp.,Laurencia sp.,Dictyota sp.,Bryopsis sp.,Avrainvillea sp.,Acanthophora spicifera,Chaetomorpha sp.
C1M18,C1,0,18,25,30,0,14,14,14,14,14,0,0,0,0,0
C2M18,C2,0,18,15,45,0,22.5,0,22.5,0,0,5,5,0,0,0
C3M18,C3,0,18,15,20,0,30,5,30,0,5,5,0,5,0,0
C4M18,C4,0,18,4,70,0,10,0,0,0,0,20,0,0,0,0
C1T18,C1,1,18,25,0,95,0,0,0,0,0,5,0,0,0,0
C2T18,C2,1,18,70,0,90,0,0,0,0,0,5,0,0,5,0
C3T18,C3,1,18,60,0,10,0,0,0,0,0,85,0,0,5,0
C4T18,C4,1,18,35,0,60,5,0,0,0,0,33,0,0,2,0
C1M19,C1,0,19,20,0,5,95,0,0,0,0,0,0,0,0,0
C2M19,C2,0,19,30,0,90,10,0,0,0,0,0,0,0,0,0
C3M19,C3,0,19,20,45,45,5,0,0,0,0,0,0,5,0,0
C4M19,C4,0,19,25,90,0,4,0,0,0,2,2,0,2,0,0
C1T19,C1,1,19,25,0,95,5,0,0,0,0,0,0,0,0,0
C2T19,C2,1,19,20,60,0,5,0,0,0,30,0,0,5,0,0
C3T19,C3,1,19,35,89,5,2,2,0,0,0,0,0,2,0,0
C4T19,C4,1,19,35,80,20,0,0,0,0,0,0,0,0,0,0
C1M20,C1,0,20,30,35,35,0,0,0,0,30,0,0,0,0,0
C2M20,C2,0,20,25,0,82,6,0,0,0,6,0,0,0,0,6
C3M20,C3,0,20,35,5,85,5,0,0,0,0,0,0,0,0,5
C4M20,C4,0,20,35,0,75,5,0,0,0,5,0,0,0,0,15
C1T20,C1,1,20,40,0,80,0,5,0,0,10,0,0,5,0,0
C2T20,C2,1,20,45,0,65,0,0,0,0,30,0,0,5,0,0
C3T20,C3,1,20,55,0,60,0,0,0,0,40,0,0,0,0,0
C4T20,C4,1,20,40,40,40,0,0,0,0,20,0,0,0,0,0
C1M21,C1,0,21,40,0,95,5,0,0,0,0,0,0,0,0,0
C2M21,C2,0,21,45,20,70,5,0,0,0,5,0,0,0,0,0
C3M21,C3,0,21,35,30,60,5,0,0,0,0,0,0,0,0,5
C4M21,C4,0,21,45,75,5,5,0,0,0,10,5,0,0,0,0
C1T21,C1,1,21,40,15,70,15,0,0,0,0,0,0,0,0,0
C2T21,C2,1,21,35,0,100,0,0,0,0,0,0,0,0,0,0
C3T21,C3,1,21,40,0,75,25,0,0,0,0,0,0,0,0,0
C4T21,C4,1,21,40,0,90,0,0,0,0,10,0,0,0,0,0
C1M22,C1,0,22,25,0,85,5,5,0,0,5,0,0,0,0,0
C2M22,C2,0,22,30,5,85,5,0,5,0,0,0,0,0,0,0
C3M22,C3,0,22,25,85,0,0,0,0,0,15,0,0,0,0,0
C4M22,C4,0,22,25,10,70,0,0,0,0,20,0,0,0,0,0
