ID,Cuadrante,Hora,Dia,Anamixidae,Amphilochidae,Ampithoidae,Aoridae,Dexaminidae,Hyalidae,Maeridae ,Melitidae,Photidae,Stenothoidae,Leucotoidea ,Talitridae,Isopodae
C1M18,C1,M,18,1,0,4,0,2,0,0,0,0,0,1,0,0
C2M18,C2,M,18,0,0,12,0,1,0,0,1,0,1,0,0,0
C3M18,C3,M,18,0,2,1,0,0,0,0,0,0,0,1,0,0
C4M18,C4,M,18,0,0,0,0,0,0,0,0,0,5,1,0,0
C1T18,C1,T,18,0,0,3,0,1,0,0,0,0,0,1,0,0
C2T18,C2,T,18,0,0,2,0,0,0,0,1,0,1,0,0,0
C3T18,C3,T,18,0,1,4,0,0,0,0,0,0,0,0,0,0
C4T18,C4,T,18,0,0,2,0,0,1,1,0,0,0,0,0,0
C1M19,C1,M,19,0,0,1,0,0,0,0,0,0,0,1,0,2
C2M19,C2,M,19,0,0,1,0,0,1,0,1,0,0,0,0,0
C3M19,C3,M,19,0,0,2,0,1,0,0,0,0,0,0,0,0
C4M19,C4,M,19,0,0,1,1,0,0,0,2,4,0,0,0,0
C1T19,C1,T,19,0,0,1,0,0,0,0,0,0,0,0,0,0
C2T19,C2,T,19,0,0,1,0,0,0,0,0,0,0,0,0,0
C3T19,C3,T,19,0,0,5,0,0,1,0,0,0,0,0,0,0
C4T19,C4,T,19,0,0,0,0,0,0,0,0,0,0,0,0,0
C1M20,C1,M,20,0,0,13,0,0,0,0,1,1,0,0,0,0
C2M20,C2,M,20,0,0,11,0,0,0,0,3,0,0,0,3,1
C3M20,C3,M,20,0,0,1,0,0,0,0,0,0,0,0,3,0
C4M20,C4,M,20,0,0,10,0,0,0,0,1,0,0,0,1,0
C1T20,C1,T,20,0,0,2,0,0,0,0,0,0,0,0,0,0
C2T20,C2,T,20,0,0,2,0,0,0,0,0,0,0,0,1,0
C3T20,C3,T,20,0,0,1,0,2,0,0,1,0,0,0,0,0
C4T20,C4,T,20,0,0,1,0,0,0,0,0,0,0,0,0,0
C1M21,C1,M,21,0,0,1,0,0,0,0,0,0,0,0,1,0
C2M21,C2,M,21,0,0,5,0,0,0,0,0,0,0,0,0,0
C3M21,C3,M,21,0,0,4,0,0,0,0,0,0,0,0,0,0
C4M21,C4,M,21,0,0,8,0,0,0,0,0,0,0,0,1,0
C1T21,C1,T,21,0,0,6,0,0,0,0,1,0,0,0,0,0
C2T21,C2,T,21,0,0,3,0,0,0,0,1,0,0,0,0,0
C3T21,C3,T,21,0,0,8,0,0,0,0,0,0,0,0,1,0
C4T21,C4,T,21,0,0,12,0,0,0,0,0,0,0,0,2,0
C1M22,C1,M,22,0,0,7,0,0,0,0,1,0,0,0,0,0
C2M22,C2,M,22,0,0,5,0,0,0,0,2,0,0,0,1,0
C3M22,C3,M,22,0,0,4,0,0,0,0,3,0,0,0,0,0
C4M22,C4,M,22,0,0,5,0,0,0,0,1,0,0,0,0,0
